資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260213,000218,1,0,0,0.00
20260213,000218,2,0,0,0.00
20260213,000218,3,0,0,0.00
20260213,000218,4,0,0,0.00
20260213,000218,5,0,0,0.00
20260213,000218,6,0,0,0.00
20260213,000218,7,0,0,0.00
20260213,000218,8,0,0,0.00
20260213,000218,9,0,0,0.00
20260213,000218,10,0,0,0.00
20260213,000218,11,0,0,0.00
20260213,000218,12,0,0,0.00
20260213,000218,13,0,0,0.00
20260213,000218,14,0,0,0.00
20260213,000218,15,1,422278902,100.00
20260213,000218,16,0,0,0.00
20260213,000218,17,1,422278902,100.00
20260213,000560,1,0,0,0.00
20260213,000560,2,0,0,0.00
20260213,000560,3,0,0,0.00
20260213,000560,4,0,0,0.00
20260213,000560,5,0,0,0.00
20260213,000560,6,0,0,0.00
20260213,000560,7,0,0,0.00
20260213,000560,8,0,0,0.00
20260213,000560,9,0,0,0.00
20260213,000560,10,0,0,0.00
20260213,000560,11,0,0,0.00
20260213,000560,12,0,0,0.00
20260213,000560,13,0,0,0.00
20260213,000560,14,0,0,0.00
20260213,000560,15,1,29700000,100.00
20260213,000560,16,0,0,0.00
20260213,000560,17,1,29700000,100.00
20260213,000708,1,0,0,0.00
20260213,000708,2,0,0,0.00
20260213,000708,3,0,0,0.00
20260213,000708,4,0,0,0.00
20260213,000708,5,0,0,0.00
20260213,000708,6,0,0,0.00
20260213,000708,7,0,0,0.00
20260213,000708,8,0,0,0.00
20260213,000708,9,0,0,0.00
20260213,000708,10,0,0,0.00
20260213,000708,11,0,0,0.00
20260213,000708,12,0,0,0.00
20260213,000708,13,0,0,0.00
20260213,000708,14,0,0,0.00
20260213,000708,15,1,20200000,100.00
20260213,000708,16,0,0,0.00
20260213,000708,17,1,20200000,100.00
20260213,000779,1,0,0,0.00
20260213,000779,2,0,0,0.00
20260213,000779,3,0,0,0.00
20260213,000779,4,0,0,0.00
20260213,000779,5,0,0,0.00
20260213,000779,6,0,0,0.00
20260213,000779,7,0,0,0.00
20260213,000779,8,0,0,0.00
20260213,000779,9,0,0,0.00
20260213,000779,10,0,0,0.00
20260213,000779,11,0,0,0.00
20260213,000779,12,0,0,0.00
20260213,000779,13,0,0,0.00
20260213,000779,14,0,0,0.00
20260213,000779,15,1,1150000000,100.00
20260213,000779,16,0,0,0.00
20260213,000779,17,1,1150000000,100.00
20260213,000815,1,0,0,0.00
20260213,000815,2,0,0,0.00
20260213,000815,3,0,0,0.00
20260213,000815,4,0,0,0.00
20260213,000815,5,0,0,0.00
20260213,000815,6,0,0,0.00
20260213,000815,7,0,0,0.00
20260213,000815,8,0,0,0.00
20260213,000815,9,0,0,0.00
20260213,000815,10,0,0,0.00
20260213,000815,11,0,0,0.00
20260213,000815,12,0,0,0.00
20260213,000815,13,0,0,0.00
20260213,000815,14,0,0,0.00
20260213,000815,15,1,692412444,100.00
20260213,000815,16,0,0,0.00
20260213,000815,17,1,692412444,100.00
20260213,000856,1,0,0,0.00
20260213,000856,2,0,0,0.00
20260213,000856,3,0,0,0.00
20260213,000856,4,0,0,0.00
20260213,000856,5,0,0,0.00
20260213,000856,6,0,0,0.00
20260213,000856,7,0,0,0.00
20260213,000856,8,0,0,0.00
20260213,000856,9,0,0,0.00
20260213,000856,10,0,0,0.00
20260213,000856,11,0,0,0.00
20260213,000856,12,0,0,0.00
20260213,000856,13,0,0,0.00
20260213,000856,14,0,0,0.00
20260213,000856,15,1,231800000,100.00
20260213,000856,16,0,0,0.00
20260213,000856,17,1,231800000,100.00
20260213,0050  ,1,879605,262480666,1.62
20260213,0050  ,2,899862,2079956105,12.84
20260213,0050  ,3,228565,1693438088,10.45
20260213,0050  ,4,90789,1125173543,6.94
20260213,0050  ,5,53982,956974297,5.91
20260213,0050  ,6,46932,1159545789,7.16
20260213,0050  ,7,23601,829710427,5.12
20260213,0050  ,8,12880,583460000,3.60
20260213,0050  ,9,21731,1500484139,9.26
20260213,0050  ,10,7108,961597940,5.93
20260213,0050  ,11,1973,528306501,3.26
20260213,0050  ,12,377,181563260,1.12
20260213,0050  ,13,112,78107350,0.48
20260213,0050  ,14,61,55074692,0.34
20260213,0050  ,15,224,4195128203,25.91
20260213,0050  ,16,0,0,0.00
20260213,0050  ,17,2267802,16191001000,100.00
20260213,0051  ,1,5893,1314652,5.47
20260213,0051  ,2,4295,8437586,35.15
20260213,0051  ,3,451,3320282,13.83
20260213,0051  ,4,136,1670712,6.96
20260213,0051  ,5,73,1321490,5.50
20260213,0051  ,6,44,1118042,4.65
20260213,0051  ,7,16,545541,2.27
20260213,0051  ,8,9,409809,1.70
20260213,0051  ,9,17,1062636,4.42
20260213,0051  ,10,5,665886,2.77
20260213,0051  ,11,2,560953,2.33
20260213,0051  ,12,1,566000,2.35
20260213,0051  ,13,3,2175209,9.06
20260213,0051  ,14,1,831202,3.46
20260213,0051  ,15,0,0,0.00
20260213,0051  ,16,0,0,0.00
20260213,0051  ,17,10946,24000000,100.00
20260213,0052  ,1,86306,22593672,1.08
20260213,0052  ,2,198500,416351333,19.93
20260213,0052  ,3,39904,312741498,14.97
20260213,0052  ,4,12113,156802322,7.50
20260213,0052  ,5,6600,121465453,5.81
20260213,0052  ,6,6295,158842583,7.60
20260213,0052  ,7,2506,89237765,4.27
20260213,0052  ,8,1630,75692796,3.62
20260213,0052  ,9,2391,170045186,8.14
20260213,0052  ,10,718,98759506,4.72
20260213,0052  ,11,208,55738620,2.66
20260213,0052  ,12,37,17487613,0.83
20260213,0052  ,13,39,27567870,1.31
20260213,0052  ,14,16,15057793,0.72
20260213,0052  ,15,63,350115990,16.76
20260213,0052  ,16,0,0,0.00
20260213,0052  ,17,357326,2088500000,100.00
20260213,0053  ,1,1732,165607,3.32
20260213,0053  ,2,742,1409828,28.26
20260213,0053  ,3,76,618932,12.40
20260213,0053  ,4,10,134000,2.68
20260213,0053  ,5,14,269000,5.39
20260213,0053  ,6,4,107000,2.14
20260213,0053  ,7,2,64000,1.28
20260213,0053  ,8,4,184000,3.68
20260213,0053  ,9,3,227000,4.55
20260213,0053  ,10,0,0,0.00
20260213,0053  ,11,3,765633,15.34
20260213,0053  ,12,0,0,0.00
20260213,0053  ,13,0,0,0.00
20260213,0053  ,14,0,0,0.00
20260213,0053  ,15,1,1043000,20.91
20260213,0053  ,16,0,0,0.00
20260213,0053  ,17,2591,4988000,100.00
20260213,0055  ,1,3041,866078,1.08
20260213,0055  ,2,6026,12609985,15.73
20260213,0055  ,3,1000,7875718,9.82
20260213,0055  ,4,265,3366516,4.20
20260213,0055  ,5,179,3258060,4.06
20260213,0055  ,6,114,2934777,3.66
20260213,0055  ,7,46,1624316,2.02
20260213,0055  ,8,34,1587678,1.98
20260213,0055  ,9,47,3214216,4.01
20260213,0055  ,10,23,2910168,3.63
20260213,0055  ,11,12,3462516,4.31
20260213,0055  ,12,8,3598853,4.48
20260213,0055  ,13,2,1427000,1.78
20260213,0055  ,14,1,990842,1.23
20260213,0055  ,15,3,30427277,37.96
20260213,0055  ,16,0,0,0.00
20260213,0055  ,17,10801,80154000,100.00
20260213,0056  ,1,282285,89446349,0.64
20260213,0056  ,2,735812,1739104094,12.54
20260213,0056  ,3,216676,1676393520,12.08
20260213,0056  ,4,92778,1175177219,8.47
20260213,0056  ,5,55488,1006336703,7.25
20260213,0056  ,6,53953,1362271878,9.82
20260213,0056  ,7,25545,904124034,6.51
20260213,0056  ,8,15579,719297448,5.18
20260213,0056  ,9,25697,1808021489,13.03
20260213,0056  ,10,8293,1123457584,8.10
20260213,0056  ,11,2091,566074071,4.08
20260213,0056  ,12,400,195668971,1.41
20260213,0056  ,13,117,81423685,0.58
20260213,0056  ,14,58,53239652,0.38
20260213,0056  ,15,144,1367997303,9.86
20260213,0056  ,16,0,0,0.00
20260213,0056  ,17,1514916,13868034000,100.00
20260213,0057  ,1,535,42269,2.76
20260213,0057  ,2,122,230960,15.12
20260213,0057  ,3,8,60572,3.96
20260213,0057  ,4,7,84100,5.50
20260213,0057  ,5,1,17000,1.11
20260213,0057  ,6,2,58000,3.79
20260213,0057  ,7,1,32000,2.09
20260213,0057  ,8,0,0,0.00
20260213,0057  ,9,2,146000,9.56
20260213,0057  ,10,6,856099,56.06
20260213,0057  ,11,0,0,0.00
20260213,0057  ,12,0,0,0.00
20260213,0057  ,13,0,0,0.00
20260213,0057  ,14,0,0,0.00
20260213,0057  ,15,0,0,0.00
20260213,0057  ,16,0,0,0.00
20260213,0057  ,17,684,1527000,100.00
20260213,0061  ,1,717,180492,0.15
20260213,0061  ,2,4050,9547401,8.32
20260213,0061  ,3,1028,8563888,7.47
20260213,0061  ,4,373,4902373,4.27
20260213,0061  ,5,290,5483030,4.78
20260213,0061  ,6,270,6979551,6.08
20260213,0061  ,7,121,4462940,3.89
20260213,0061  ,8,102,4823113,4.20
20260213,0061  ,9,170,12999062,11.34
20260213,0061  ,10,74,9910000,8.64
20260213,0061  ,11,41,11490187,10.02
20260213,0061  ,12,9,4647000,4.05
20260213,0061  ,13,7,4818000,4.20
20260213,0061  ,14,0,0,0.00
20260213,0061  ,15,6,25808963,22.51
20260213,0061  ,16,0,0,0.00
20260213,0061  ,17,7258,114616000,100.00
20260213,006201,1,576,109426,0.66
20260213,006201,2,1091,2287639,13.91
20260213,006201,3,183,1442169,8.76
20260213,006201,4,55,702447,4.27
20260213,006201,5,36,657822,3.99
20260213,006201,6,24,641351,3.89
20260213,006201,7,10,343000,2.08
20260213,006201,8,7,333974,2.03
20260213,006201,9,8,523000,3.18
20260213,006201,10,3,478879,2.91
20260213,006201,11,1,218593,1.32
20260213,006201,12,1,401000,2.43
20260213,006201,13,1,603000,3.66
20260213,006201,14,1,871700,5.30
20260213,006201,15,2,6832000,41.54
20260213,006201,16,0,0,0.00
20260213,006201,17,1999,16446000,100.00
20260213,006203,1,703,109725,1.07
20260213,006203,2,350,596925,5.84
20260213,006203,3,30,228331,2.23
20260213,006203,4,8,111733,1.09
20260213,006203,5,7,123306,1.20
20260213,006203,6,3,79000,0.77
20260213,006203,7,0,0,0.00
20260213,006203,8,0,0,0.00
20260213,006203,9,2,153000,1.49
20260213,006203,10,1,150000,1.46
20260213,006203,11,1,259000,2.53
20260213,006203,12,2,903000,8.83
20260213,006203,13,2,1443980,14.13
20260213,006203,14,1,1000000,9.78
20260213,006203,15,2,5060000,49.52
20260213,006203,16,0,0,0.00
20260213,006203,17,1112,10218000,100.00
20260213,006204,1,807,116152,7.74
20260213,006204,2,285,497691,33.17
20260213,006204,3,13,94260,6.28
20260213,006204,4,4,53890,3.59
20260213,006204,5,3,57000,3.80
20260213,006204,6,2,54000,3.60
20260213,006204,7,0,0,0.00
20260213,006204,8,1,41000,2.73
20260213,006204,9,2,139936,9.32
20260213,006204,10,3,446071,29.73
20260213,006204,11,0,0,0.00
20260213,006204,12,0,0,0.00
20260213,006204,13,0,0,0.00
20260213,006204,14,0,0,0.00
20260213,006204,15,0,0,0.00
20260213,006204,16,0,0,0.00
20260213,006204,17,1120,1500000,100.00
20260213,006205,1,3301,1029923,0.93
20260213,006205,2,4440,10026019,9.11
20260213,006205,3,1125,8659376,7.87
20260213,006205,4,364,4604065,4.18
20260213,006205,5,257,4708395,4.28
20260213,006205,6,211,5345482,4.86
20260213,006205,7,105,3752918,3.41
20260213,006205,8,46,2167086,1.97
20260213,006205,9,130,9284229,8.44
20260213,006205,10,63,9077969,8.25
20260213,006205,11,11,3125563,2.84
20260213,006205,12,9,4515000,4.10
20260213,006205,13,9,6570000,5.97
20260213,006205,14,1,959000,0.87
20260213,006205,15,9,36113975,32.84
20260213,006205,16,0,0,0.00
20260213,006205,17,10081,109939000,100.00
20260213,006206,1,857,215766,0.65
20260213,006206,2,1799,4029792,12.29
20260213,006206,3,495,3962971,12.09
20260213,006206,4,151,1928825,5.88
20260213,006206,5,116,2146296,6.54
20260213,006206,6,105,2701858,8.24
20260213,006206,7,57,2099156,6.40
20260213,006206,8,37,1781730,5.43
20260213,006206,9,46,3389047,10.33
20260213,006206,10,14,1889008,5.76
20260213,006206,11,7,1969120,6.00
20260213,006206,12,1,531000,1.61
20260213,006206,13,2,1520965,4.64
20260213,006206,14,0,0,0.00
20260213,006206,15,2,4612466,14.07
20260213,006206,16,0,0,0.00
20260213,006206,17,3689,32778000,100.00
20260213,006207,1,267,62027,0.24
20260213,006207,2,890,2098757,8.43
20260213,006207,3,215,1755176,7.05
20260213,006207,4,76,957739,3.84
20260213,006207,5,70,1322979,5.31
20260213,006207,6,60,1598069,6.42
20260213,006207,7,24,849000,3.41
20260213,006207,8,19,900145,3.61
20260213,006207,9,44,3208787,12.89
20260213,006207,10,20,3050774,12.25
20260213,006207,11,15,4454000,17.89
20260213,006207,12,4,2038876,8.19
20260213,006207,13,1,660000,2.65
20260213,006207,14,1,845000,3.39
20260213,006207,15,1,1090671,4.38
20260213,006207,16,0,0,0.00
20260213,006207,17,1707,24892000,100.00
20260213,006208,1,346731,107451658,5.77
20260213,006208,2,247061,529484364,28.46
20260213,006208,3,42955,308162264,16.56
20260213,006208,4,14001,172610746,9.27
20260213,006208,5,6594,115881566,6.23
20260213,006208,6,5429,132553329,7.12
20260213,006208,7,2192,75944030,4.08
20260213,006208,8,1031,46451498,2.49
20260213,006208,9,1435,96483909,5.18
20260213,006208,10,324,42613650,2.29
20260213,006208,11,68,18470195,0.99
20260213,006208,12,16,7596297,0.40
20260213,006208,13,5,3256065,0.17
20260213,006208,14,2,1881000,0.10
20260213,006208,15,40,201199429,10.81
20260213,006208,16,0,0,0.00
20260213,006208,17,667884,1860040000,100.00
20260213,00625K,1,0,0,0.00
20260213,00625K,2,5,18000,5.40
20260213,00625K,3,1,10000,3.00
20260213,00625K,4,1,12000,3.60
20260213,00625K,5,1,16000,4.80
20260213,00625K,6,1,23000,6.90
20260213,00625K,7,1,35000,10.51
20260213,00625K,8,0,0,0.00
20260213,00625K,9,2,108000,32.43
20260213,00625K,10,1,111000,33.33
20260213,00625K,11,0,0,0.00
20260213,00625K,12,0,0,0.00
20260213,00625K,13,0,0,0.00
20260213,00625K,14,0,0,0.00
20260213,00625K,15,0,0,0.00
20260213,00625K,16,0,0,0.00
20260213,00625K,17,13,333000,100.00
20260213,00631L,1,30962,5987754,5.11
20260213,00631L,2,13078,26844783,22.92
20260213,00631L,3,2037,14978455,12.79
20260213,00631L,4,699,8778339,7.49
20260213,00631L,5,348,6219384,5.31
20260213,00631L,6,304,7484619,6.39
20260213,00631L,7,138,4875616,4.16
20260213,00631L,8,77,3553507,3.03
